filename,value,digits,length,width,height,box
94.png,70,"[7, 0]",2,64,31,"[11, 1, 44, 28]"
95.png,23,"[2, 3]",2,121,105,"[17, 16, 92, 90]"
96.png,215,"[2, 1, 5]",3,61,49,"[13, 15, 42, 39]"
97.png,135,"[1, 3, 5]",3,136,98,"[20, 16, 74, 83]"
98.png,420,"[4, 2, 0]",3,69,50,"[13, 9, 57, 43]"
99.png,63,"[6, 3]",2,147,84,"[28, 3, 110, 77]"
100.png,535,"[5, 3, 5]",3,51,32,"[3, 1, 46, 30]"
101.png,54,"[5, 4]",2,59,36,"[13, 8, 36, 26]"
102.png,84,"[8, 4]",2,59,49,"[12, 10, 46, 43]"
103.png,122,"[1, 2, 2]",3,101,49,"[12, 3, 72, 43]"
104.png,15,"[1, 5]",2,60,43,"[7, 7, 43, 35]"
105.png,38,"[3, 8]",2,32,23,"[4, 1, 26, 22]"
106.png,1037,"[1, 0, 3, 7]",4,127,107,"[18, 7, 94, 93]"
107.png,16,"[1, 6]",2,112,54,"[44, 8, 68, 41]"
108.png,30,"[3, 0]",2,57,49,"[14, 13, 40, 37]"
109.png,957,"[9, 5, 7]",3,117,62,"[11, 3, 87, 61]"
110.png,35,"[3, 5]",2,75,40,"[5, 1, 56, 40]"
111.png,50,"[5, 0]",2,355,142,"[109, 22, 253, 123]"
112.png,390,"[3, 9, 0]",3,82,50,"[7, 9, 62, 44]"
113.png,78,"[7, 8]",2,85,52,"[15, 6, 58, 42]"
114.png,15,"[1, 5]",2,107,79,"[27, 10, 74, 68]"
115.png,77,"[7, 7]",2,60,36,"[9, 4, 47, 34]"
116.png,1029,"[1, 0, 2, 9]",4,59,36,"[6, 10, 44, 28]"
117.png,106,"[1, 0, 6]",3,70,49,"[11, 6, 54, 41]"
118.png,253,"[2, 5, 3]",3,55,55,"[9, 14, 40, 42]"
119.png,383,"[3, 8, 3]",3,195,125,"[35, 13, 144, 107]"
120.png,556,"[5, 5, 6]",3,161,92,"[19, 9, 115, 77]"
121.png,44,"[4, 4]",2,94,40,"[41, 9, 61, 28]"
122.png,4,[4],1,84,40,"[36, 11, 50, 34]"
123.png,1071,"[1, 0, 7, 1]",4,117,83,"[19, 19, 86, 61]"
124.png,137,"[1, 3, 7]",3,150,104,"[13, 14, 109, 85]"
125.png,255,"[2, 5, 5]",3,113,56,"[11, 1, 90, 44]"
126.png,280,"[2, 8, 0]",3,77,57,"[13, 9, 46, 51]"
127.png,290,"[2, 9, 0]",3,99,62,"[19, 13, 59, 48]"
128.png,130,"[1, 3, 0]",3,107,56,"[15, 1, 84, 53]"
129.png,766,"[7, 6, 6]",3,104,41,"[5, 2, 83, 36]"
130.png,571,"[5, 7, 1]",3,55,38,"[4, 5, 45, 32]"
131.png,33,"[3, 3]",2,57,36,"[8, 7, 35, 30]"
132.png,792,"[7, 9, 2]",3,100,62,"[22, 13, 66, 43]"
133.png,18,"[1, 8]",2,68,39,"[7, 2, 47, 29]"
134.png,53,"[5, 3]",2,129,57,"[49, 8, 82, 48]"
135.png,5,[5],1,38,66,"[5, 12, 28, 58]"
136.png,143,"[1, 4, 3]",3,92,76,"[12, 8, 61, 57]"
137.png,574,"[5, 7, 4]",3,67,42,"[7, 5, 51, 40]"
138.png,551,"[5, 5, 1]",3,45,33,"[7, 4, 36, 29]"
139.png,12,"[1, 2]",2,51,69,"[11, 8, 43, 60]"
140.png,97,"[9, 7]",2,59,49,"[8, 7, 46, 46]"
141.png,28,"[2, 8]",2,108,84,"[21, 11, 74, 65]"
142.png,178,"[1, 7, 8]",3,55,44,"[16, 9, 39, 32]"
143.png,387,"[3, 8, 7]",3,190,65,"[52, 18, 95, 49]"
144.png,509,"[5, 0, 9]",3,127,72,"[11, 8, 110, 66]"
145.png,217,"[2, 1, 7]",3,116,85,"[15, 11, 92, 86]"
146.png,345,"[3, 4, 5]",3,136,91,"[15, 22, 87, 78]"
147.png,758,"[7, 5, 8]",3,84,64,"[21, 14, 64, 46]"
148.png,5786,"[5, 7, 8, 6]",4,87,41,"[7, 3, 74, 39]"
149.png,33,"[3, 3]",2,94,42,"[36, 11, 59, 33]"
150.png,1300,"[1, 3, 0, 0]",4,74,34,"[11, 1, 53, 33]"
151.png,92,"[9, 2]",2,65,57,"[6, 7, 52, 51]"
152.png,385,"[3, 8, 5]",3,95,57,"[12, 14, 67, 45]"
153.png,115,"[1, 1, 5]",3,177,118,"[21, 3, 144, 113]"
154.png,184,"[1, 8, 4]",3,102,68,"[5, 8, 76, 63]"
155.png,335,"[3, 3, 5]",3,256,125,"[55, 20, 172, 101]"
156.png,265,"[2, 6, 5]",3,45,31,"[6, 3, 32, 27]"
157.png,605,"[6, 0, 5]",3,88,76,"[18, 22, 61, 50]"
158.png,467,"[4, 6, 7]",3,105,76,"[16, 16, 73, 61]"
159.png,308,"[3, 0, 8]",3,144,93,"[35, 11, 96, 83]"
160.png,583,"[5, 8, 3]",3,136,78,"[22, 15, 93, 59]"
161.png,423,"[4, 2, 3]",3,88,51,"[11, 10, 63, 41]"
162.png,107,"[1, 0, 7]",3,89,36,"[33, 7, 60, 29]"
163.png,238,"[2, 3, 8]",3,165,114,"[18, 11, 124, 98]"
164.png,62,"[6, 2]",2,68,33,"[24, 6, 45, 31]"
165.png,64,"[6, 4]",2,106,76,"[20, 5, 77, 67]"
166.png,310,"[3, 1, 0]",3,118,79,"[29, 20, 75, 55]"
167.png,412,"[4, 1, 2]",3,127,85,"[20, 3, 89, 75]"
168.png,160,"[1, 6, 0]",3,117,79,"[10, 7, 88, 62]"
169.png,25,"[2, 5]",2,138,119,"[26, 19, 95, 108]"
170.png,101,"[1, 0, 1]",3,89,84,"[16, 12, 65, 68]"
171.png,73,"[7, 3]",2,95,42,"[29, 4, 68, 41]"
172.png,213,"[2, 1, 3]",3,85,34,"[26, 5, 59, 31]"
173.png,102,"[1, 0, 2]",3,158,82,"[15, 10, 104, 68]"
174.png,1720,"[1, 7, 2, 0]",4,145,65,"[19, 14, 110, 52]"
175.png,397,"[3, 9, 7]",3,142,86,"[5, 2, 112, 82]"
176.png,178,"[1, 7, 8]",3,50,37,"[7, 4, 37, 28]"
177.png,35,"[3, 5]",2,71,48,"[12, 2, 53, 43]"
178.png,42,"[4, 2]",2,143,63,"[51, 9, 96, 56]"
179.png,81,"[8, 1]",2,114,103,"[18, 15, 83, 91]"
180.png,77,"[7, 7]",2,283,211,"[38, 16, 207, 177]"
181.png,107,"[1, 0, 7]",3,96,59,"[16, 2, 72, 50]"
182.png,1258,"[1, 2, 5, 8]",4,103,54,"[2, 5, 84, 50]"
183.png,24,"[2, 4]",2,109,88,"[15, 9, 82, 83]"
184.png,12,"[1, 2]",2,94,43,"[31, 7, 61, 36]"
185.png,2,[2],1,117,100,"[25, 16, 60, 76]"
186.png,331,"[3, 3, 1]",3,67,45,"[12, 8, 45, 36]"
187.png,89,"[8, 9]",2,103,63,"[16, 3, 71, 63]"
188.png,211,"[2, 1, 1]",3,113,91,"[29, 18, 89, 74]"
189.png,253,"[2, 5, 3]",3,75,30,"[21, 2, 57, 30]"
190.png,74,"[7, 4]",2,97,58,"[15, 1, 72, 56]"
191.png,56,"[5, 6]",2,92,70,"[10, 15, 60, 57]"
192.png,47,"[4, 7]",2,75,34,"[31, 8, 50, 30]"
193.png,307,"[3, 0, 7]",3,146,65,"[16, 1, 96, 63]"
194.png,101,"[1, 0, 1]",3,63,34,"[12, 3, 47, 30]"
195.png,68,"[6, 8]",2,39,34,"[7, 5, 28, 27]"
196.png,47,"[4, 7]",2,83,51,"[12, 8, 51, 43]"
197.png,717,"[7, 1, 7]",3,170,74,"[25, 12, 121, 62]"
198.png,489,"[4, 8, 9]",3,42,28,"[5, 2, 32, 29]"
199.png,41,"[4, 1]",2,74,36,"[26, 3, 52, 35]"
200.png,77,"[7, 7]",2,95,55,"[40, 7, 86, 47]"
201.png,236,"[2, 3, 6]",3,57,34,"[4, 4, 42, 31]"
202.png,289,"[2, 8, 9]",3,75,51,"[10, 7, 47, 45]"
203.png,54,"[5, 4]",2,71,40,"[12, 12, 35, 29]"
204.png,521,"[5, 2, 1]",3,73,79,"[11, 11, 53, 61]"
205.png,80,"[8, 0]",2,106,81,"[14, 5, 84, 75]"
206.png,6,[6],1,69,89,"[12, 15, 52, 75]"
207.png,10,"[1, 0]",2,58,62,"[8, 7, 42, 58]"
208.png,225,"[2, 2, 5]",3,120,63,"[20, 13, 88, 47]"
209.png,217,"[2, 1, 7]",3,98,51,"[14, 5, 64, 45]"
210.png,32,"[3, 2]",2,67,37,"[25, 5, 57, 35]"
211.png,27,"[2, 7]",2,128,75,"[18, 8, 98, 68]"
212.png,1198,"[1, 1, 9, 8]",4,73,51,"[8, 8, 55, 44]"
213.png,113,"[1, 1, 3]",3,62,48,"[9, 11, 38, 38]"
214.png,60,"[6, 0]",2,48,34,"[5, 3, 37, 32]"
215.png,227,"[2, 2, 7]",3,50,27,"[3, 5, 32, 23]"
216.png,58,"[5, 8]",2,70,63,"[9, 5, 53, 59]"
217.png,447,"[4, 4, 7]",3,128,89,"[16, 17, 93, 66]"
218.png,58,"[5, 8]",2,103,42,"[38, 10, 66, 33]"
219.png,110,"[1, 1, 0]",3,91,84,"[15, 13, 68, 70]"
220.png,957,"[9, 5, 7]",3,118,83,"[19, 13, 87, 73]"
221.png,103,"[1, 0, 3]",3,107,37,"[46, 7, 73, 32]"
222.png,26,"[2, 6]",2,107,41,"[39, 4, 69, 35]"
223.png,1005,"[1, 0, 0, 5]",4,61,42,"[7, 6, 48, 38]"
224.png,150,"[1, 5, 0]",3,98,62,"[20, 4, 71, 51]"
225.png,28,"[2, 8]",2,81,47,"[11, 2, 57, 50]"
226.png,730,"[7, 3, 0]",3,180,100,"[29, 7, 135, 87]"
227.png,174,"[1, 7, 4]",3,73,34,"[12, 6, 52, 31]"
228.png,46,"[4, 6]",2,59,26,"[20, 1, 42, 24]"
229.png,84,"[8, 4]",2,74,55,"[12, 8, 52, 52]"
230.png,127,"[1, 2, 7]",3,138,76,"[38, 18, 82, 59]"
231.png,30,"[3, 0]",2,61,48,"[8, 10, 45, 44]"
232.png,39,"[3, 9]",2,115,54,"[39, 2, 78, 50]"
233.png,45,"[4, 5]",2,31,21,"[3, 2, 24, 21]"
234.png,22,"[2, 2]",2,193,83,"[59, 24, 103, 59]"
235.png,29,"[2, 9]",2,120,56,"[39, 6, 82, 49]"
236.png,2561,"[2, 5, 6, 1]",4,130,76,"[11, 5, 97, 60]"
237.png,97,"[9, 7]",2,70,30,"[31, 9, 44, 23]"
238.png,248,"[2, 4, 8]",3,129,80,"[12, 18, 101, 67]"
239.png,265,"[2, 6, 5]",3,136,87,"[17, 1, 100, 75]"
240.png,1286,"[1, 2, 8, 6]",4,141,92,"[13, 15, 105, 76]"
241.png,38,"[3, 8]",2,72,71,"[9, 4, 57, 59]"
242.png,434,"[4, 3, 4]",3,79,54,"[5, 6, 58, 48]"
243.png,6,[6],1,61,79,"[13, 16, 41, 63]"
244.png,105,"[1, 0, 5]",3,71,50,"[19, 15, 48, 35]"
245.png,110,"[1, 1, 0]",3,114,79,"[27, 19, 72, 61]"
246.png,38,"[3, 8]",2,72,89,"[5, 11, 45, 76]"
247.png,67,"[6, 7]",2,87,61,"[8, 8, 64, 55]"
248.png,61,"[6, 1]",2,75,63,"[14, 12, 49, 53]"
249.png,28,"[2, 8]",2,115,86,"[23, 7, 81, 75]"
250.png,16,"[1, 6]",2,84,68,"[19, 13, 62, 57]"
251.png,46,"[4, 6]",2,36,26,"[4, 4, 30, 25]"
252.png,26,"[2, 6]",2,75,33,"[31, 7, 47, 25]"
253.png,612,"[6, 1, 2]",3,138,75,"[30, 1, 132, 69]"
254.png,8,[8],1,131,82,"[54, 7, 84, 72]"
255.png,67,"[6, 7]",2,105,97,"[14, 12, 82, 87]"
256.png,392,"[3, 9, 2]",3,186,113,"[16, 21, 137, 79]"
257.png,2705,"[2, 7, 0, 5]",4,140,56,"[7, 1, 134, 59]"
258.png,41,"[4, 1]",2,64,44,"[3, 2, 38, 40]"
259.png,599,"[5, 9, 9]",3,69,41,"[12, 9, 50, 34]"
260.png,36,"[3, 6]",2,152,62,"[49, 10, 99, 50]"
261.png,604,"[6, 0, 4]",3,55,29,"[10, 5, 47, 27]"
262.png,26,"[2, 6]",2,110,44,"[41, 8, 66, 36]"
263.png,82,"[8, 2]",2,79,35,"[29, 9, 50, 28]"
264.png,540,"[5, 4, 0]",3,104,61,"[17, 8, 78, 53]"
265.png,24,"[2, 4]",2,100,44,"[35, 8, 67, 35]"
266.png,2,[2],1,122,64,"[51, 7, 74, 52]"
267.png,13,"[1, 3]",2,54,55,"[9, 6, 37, 50]"
268.png,184,"[1, 8, 4]",3,98,45,"[16, 4, 67, 40]"
269.png,57,"[5, 7]",2,44,21,"[14, 4, 30, 19]"
270.png,192,"[1, 9, 2]",3,149,98,"[12, 2, 114, 88]"
271.png,375,"[3, 7, 5]",3,140,69,"[18, 11, 104, 55]"
272.png,314,"[3, 1, 4]",3,105,62,"[15, 4, 78, 56]"
273.png,357,"[3, 5, 7]",3,36,19,"[3, 3, 29, 19]"
274.png,175,"[1, 7, 5]",3,47,25,"[7, 1, 36, 24]"
275.png,10,"[1, 0]",2,88,76,"[21, 21, 52, 55]"
276.png,715,"[7, 1, 5]",3,118,105,"[19, 27, 84, 79]"
277.png,55,"[5, 5]",2,43,43,"[6, 3, 29, 40]"
278.png,115,"[1, 1, 5]",3,44,28,"[2, 6, 30, 25]"
279.png,59,"[5, 9]",2,127,98,"[23, 5, 91, 87]"
280.png,461,"[4, 6, 1]",3,95,61,"[19, 12, 69, 47]"
281.png,46,"[4, 6]",2,52,43,"[14, 6, 37, 35]"
282.png,1309,"[1, 3, 0, 9]",4,103,51,"[3, 3, 84, 48]"
283.png,973,"[9, 7, 3]",3,84,46,"[13, 1, 66, 48]"
284.png,121,"[1, 2, 1]",3,49,37,"[9, 5, 36, 29]"
285.png,211,"[2, 1, 1]",3,60,50,"[9, 9, 47, 42]"
286.png,310,"[3, 1, 0]",3,117,57,"[5, 6, 92, 52]"
287.png,37,"[3, 7]",2,235,188,"[33, 30, 172, 152]"
288.png,1471,"[1, 4, 7, 1]",4,157,72,"[21, 2, 125, 62]"
289.png,17,"[1, 7]",2,38,48,"[12, 13, 26, 37]"
290.png,1050,"[1, 0, 5, 0]",4,178,86,"[29, 9, 136, 74]"
291.png,81,"[8, 1]",2,49,44,"[8, 3, 37, 40]"
292.png,599,"[5, 9, 9]",3,155,78,"[20, 9, 114, 63]"
293.png,178,"[1, 7, 8]",3,70,42,"[11, 6, 54, 40]"
294.png,137,"[1, 3, 7]",3,53,28,"[16, 6, 41, 23]"
295.png,235,"[2, 3, 5]",3,87,44,"[7, 5, 64, 41]"
296.png,250,"[2, 5, 0]",3,37,26,"[2, 1, 31, 23]"
297.png,1370,"[1, 3, 7, 0]",4,81,35,"[3, 2, 64, 29]"
298.png,192,"[1, 9, 2]",3,101,65,"[18, 9, 78, 55]"
299.png,177,"[1, 7, 7]",3,149,72,"[28, 5, 86, 53]"
300.png,230,"[2, 3, 0]",3,125,68,"[14, 8, 83, 56]"
301.png,72,"[7, 2]",2,109,54,"[9, 6, 87, 54]"
302.png,151,"[1, 5, 1]",3,52,41,"[9, 10, 36, 34]"
303.png,185,"[1, 8, 5]",3,113,106,"[19, 23, 85, 80]"
304.png,51,"[5, 1]",2,40,33,"[7, 5, 27, 30]"
305.png,5,[5],1,129,64,"[67, 21, 89, 55]"
306.png,119,"[1, 1, 9]",3,70,46,"[5, 1, 55, 40]"
307.png,340,"[3, 4, 0]",3,43,26,"[4, 7, 30, 27]"
308.png,118,"[1, 1, 8]",3,58,40,"[6, 5, 47, 38]"
309.png,127,"[1, 2, 7]",3,100,62,"[13, 11, 73, 53]"
310.png,76,"[7, 6]",2,53,38,"[9, 5, 40, 36]"
311.png,421,"[4, 2, 1]",3,55,44,"[12, 9, 39, 42]"
312.png,482,"[4, 8, 2]",3,56,50,"[12, 9, 41, 38]"
313.png,189,"[1, 8, 9]",3,98,51,"[11, 1, 75, 49]"
314.png,613,"[6, 1, 3]",3,210,116,"[24, 9, 141, 101]"
315.png,171,"[1, 7, 1]",3,44,23,"[6, 1, 33, 23]"
316.png,90,"[9, 0]",2,79,45,"[22, 12, 47, 37]"
317.png,204,"[2, 0, 4]",3,113,43,"[32, 9, 81, 39]"
318.png,291,"[2, 9, 1]",3,203,100,"[67, 8, 138, 97]"
319.png,936,"[9, 3, 6]",3,78,44,"[15, 9, 55, 39]"
320.png,2975,"[2, 9, 7, 5]",4,121,67,"[14, 14, 89, 53]"
321.png,82,"[8, 2]",2,66,59,"[9, 6, 57, 55]"
322.png,108,"[1, 0, 8]",3,242,117,"[4, 1, 186, 105]"
323.png,71,"[7, 1]",2,123,43,"[67, 13, 93, 35]"
324.png,185,"[1, 8, 5]",3,97,55,"[19, 8, 67, 47]"
325.png,129,"[1, 2, 9]",3,119,42,"[36, 8, 88, 34]"
326.png,10,"[1, 0]",2,58,26,"[21, 7, 38, 21]"
327.png,2,[2],1,104,100,"[23, 5, 77, 84]"
328.png,95,"[9, 5]",2,86,93,"[18, 29, 56, 77]"
329.png,66,"[6, 6]",2,74,41,"[16, 6, 52, 38]"
330.png,731,"[7, 3, 1]",3,84,45,"[19, 7, 56, 37]"
331.png,132,"[1, 3, 2]",3,115,75,"[12, 11, 89, 68]"
332.png,249,"[2, 4, 9]",3,78,36,"[10, 5, 71, 34]"
333.png,77,"[7, 7]",2,82,50,"[18, 10, 47, 38]"
334.png,189,"[1, 8, 9]",3,101,71,"[15, 13, 74, 60]"
335.png,37,"[3, 7]",2,91,49,"[15, 1, 73, 47]"
336.png,338,"[3, 3, 8]",3,64,28,"[4, 4, 50, 26]"
337.png,612,"[6, 1, 2]",3,80,71,"[17, 20, 55, 52]"
338.png,920,"[9, 2, 0]",3,97,47,"[7, 3, 74, 43]"
339.png,280,"[2, 8, 0]",3,137,56,"[16, 6, 100, 53]"
340.png,53,"[5, 3]",2,61,27,"[18, 3, 45, 25]"
341.png,116,"[1, 1, 6]",3,67,62,"[15, 20, 43, 40]"
342.png,143,"[1, 4, 3]",3,198,101,"[50, 14, 108, 69]"
343.png,227,"[2, 2, 7]",3,194,120,"[16, 11, 171, 118]"
344.png,230,"[2, 3, 0]",3,98,45,"[18, 5, 64, 42]"
345.png,8,[8],1,204,107,"[66, 13, 102, 90]"
346.png,302,"[3, 0, 2]",3,257,204,"[24, 17, 189, 158]"
347.png,87,"[8, 7]",2,91,72,"[22, 14, 55, 56]"
348.png,160,"[1, 6, 0]",3,120,74,"[13, 11, 87, 57]"
349.png,4,[4],1,68,41,"[9, 7, 23, 36]"
350.png,150,"[1, 5, 0]",3,51,27,"[7, 0, 46, 26]"
351.png,127,"[1, 2, 7]",3,93,65,"[22, 23, 57, 49]"
352.png,164,"[1, 6, 4]",3,87,71,"[23, 14, 60, 54]"
353.png,22,"[2, 2]",2,80,36,"[27, 5, 52, 30]"
354.png,659,"[6, 5, 9]",3,107,77,"[6, 6, 76, 68]"
355.png,60,"[6, 0]",2,101,63,"[14, 12, 54, 54]"
356.png,129,"[1, 2, 9]",3,67,37,"[14, 9, 47, 34]"
357.png,197,"[1, 9, 7]",3,71,63,"[12, 12, 51, 56]"
358.png,6411,"[6, 4, 1, 1]",4,81,66,"[11, 10, 60, 55]"
359.png,100,"[1, 0, 0]",3,108,76,"[11, 1, 77, 63]"
360.png,165,"[1, 6, 5]",3,60,36,"[5, 3, 46, 34]"
361.png,193,"[1, 9, 3]",3,103,75,"[18, 14, 61, 54]"
362.png,204,"[2, 0, 4]",3,138,83,"[17, 16, 104, 70]"
363.png,106,"[1, 0, 6]",3,56,29,"[7, 2, 41, 26]"
364.png,200,"[2, 0, 0]",3,274,93,"[141, 18, 202, 66]"
365.png,25,"[2, 5]",2,119,49,"[33, 7, 85, 46]"
366.png,55,"[5, 5]",2,74,44,"[10, 2, 53, 40]"
367.png,218,"[2, 1, 8]",3,106,58,"[15, 13, 79, 49]"
368.png,931,"[9, 3, 1]",3,50,29,"[10, 4, 39, 27]"
369.png,154,"[1, 5, 4]",3,83,54,"[12, 15, 61, 40]"
370.png,475,"[4, 7, 5]",3,71,41,"[5, 4, 57, 39]"
371.png,480,"[4, 8, 0]",3,97,54,"[15, 3, 71, 45]"
372.png,110,"[1, 1, 0]",3,148,105,"[20, 8, 113, 95]"
373.png,200,"[2, 0, 0]",3,106,53,"[12, 5, 77, 48]"
374.png,560,"[5, 6, 0]",3,107,56,"[9, 4, 100, 54]"
375.png,435,"[4, 3, 5]",3,135,83,"[27, 21, 93, 58]"
376.png,223,"[2, 2, 3]",3,133,81,"[24, 15, 102, 75]"
377.png,92,"[9, 2]",2,39,37,"[5, 1, 29, 29]"
378.png,461,"[4, 6, 1]",3,50,36,"[3, 6, 39, 32]"
